Абельмановск Застав
Нижний Сусальный
Нижний Таганский тупик
Нижняя Красносельская
Нижняя Краснохолмская
Нижняя Масловка
Нижняя Первомайская
Нижняя Радищевская
Нижняя Сыромятническая
Никитские Ворота
Николая Злобина
Николая Коперника
Николая Старостина
Николая Химушина
Николощеповский 1-й
Николощеповский 2-й
Никопольская 3-я
Новая Басманная
Новая Башиловка
Новая Дорога
Новая Заря
Новая Ипатовка
Новая Переведеновская
Новая Сыромятническая
Новодевичьего Монастыря
Новокузнецкий 1-й
Новокузнецкий 2-й
Новокузьминская 12-я
Новокузьминская 1-я
Новокузьминская 4-я
Новомихалковский 1-й
Новомихалковский 3-й
Новомихалковский 4-й
Новоостанкинская 2-я
Новоостанкинская 3-я
Новоостанкинский 5-й
Новоостанкинский 6-й
Новоподмосковный 1-й
Новоподмосковный 2-й
Новоподмосковный 3-й
Новоподмосковный 4-й
Новоподмосковный 5-й
Новоподмосковный 6-й
Новоподмосковный 8-й
Новорублёвская 2-я
Новосёлки 1-я
Новосёлки 2-я
Новосёлки 3-я
Новосёлки 4-я
Новотихвинский 1-й
Новые Сады 1-я
Новые Сады 2-я
Новые Сады 3-я
Новые Сады 4-я
Новые Сады 5-я
Новые Сады 6-я
Новые Сады 7-я
Новые Сады 8-я
Новые Сады 9-я
Новые Сады 10-я
Новые Сады 11-я
Новый 1-й
Новый 2-й
Новый 3-й
Новый Арбат
Новый Берингов
Новый Зыковский
Обыденский 1-й
Обыденский 2-й
Обыденский 3-й
Огородная Слобода
Олеко Дундича
Олений Вал
Олимпийской Деревни
Ольховский 1-й
Останкинская 1-я
Останкинская 2-я
Останкинский 3-й
Останкинский 5-й
Останкинский 6-й
Охотный Ряд
Очаковский 1-й
Очаковский 2-й
Очаковский 3-й
Очаковский 4-й
Очаковский 5-й
Очаковское шоссе
Павелецкий 1-й
Павелецкий 2-й
Павелецкий 3-й
Павла Андреева
Павла Корчагина
Павлика Морозова
Павловский 1-й
Павловский 2-й
Павловский 3-й
Павлоградская 1-я
Павлоградская 2-я
Павлоградская 3-я
Павлоградская 4-я
Пенягинская 1-я
Пенягинская 2-я
Пенягинский 1-й проезд
Пенягинский 2-й проезд
1 Мая
Первого Мая 
Первой Маёвки
Перова Поля 1-й
Перова Поля 2-й
Перова Поля 3-й
Перова Поля 4-й
Песчаная 2-я
Песчаная 3-я
Песчаный Карьер
Петра Алексеева 1-й
Петра Алексеева 2-й
Петра Алексеева
Петра Романова
Петровские Ворота
Петровские Линии
Петровский бульвар
Пехотный 1-й
Пехотный 2-й
Пилота Нестерова
Плехановский 1-й
Плехановский 3-й
Подбельского 1-й
Подбельского 3-й
Подбельского 4-й
Подбельского 5-й
Подбельского 6-й
Подбельского 7-й
Подольский 1-й
Подольских Курсантов
Подрезковская 1-я
Подрезковская 2-я
Подрезковская 3-я
Покровская 2-я
Покровские Ворота
Полевой 1-й
Полевой 2-й
Полевой 4-й
Полины Осипенко
Полянский 2-й
Поперечный 1-й
Поперечный 2-й
Правая Дворцовая
Преображенский Вал
Пресненский Вал
Пречистенские Ворота
Прогонная 1-я
Прогонная 2-я
Пролетарского Входа
Проломная Застава
Прудная 5-я
Прядильная 1-я
Прядильная 2-я
Прядильная 3-я
Пугачёвская 1-я
Пугачёвская 2-я
Пятилетка 2-я
Пятьдесят лет Октября
Рабочий 1-й
Радиальная 1-я
Радиальная 2-я
Радиальная 3-я
Радиальная 5-я
Радиальная 6-я
Радиальная 8-я
Радиальная 9-я
Радиальная 10-я
Радиальная 11-я
Радиаторская 1-я
Радиаторская 2-я
Радиаторская 3-я
Раушский 1-й
Раушский 2-й
Рейсовая 1-я
Рейсовая 2-я
Рейсовая 3-я
Рогожская Застава
Рогожский Вал
Рогожский Посёлок
Розы Люксембург
Ромена Роллана
Рославка 1-я
Рославка 2-я
Ростовский 2-й
Ростовский 4-й
Ростовский 6-й
Ростовский 7-й
Рощинская 2-я
Рощинская 3-я
Рощинский 1-й
Рощинский 2-й
Рощинский 4-й
Рощинский 5-й
Рощинский 6-й
Рыбинская 1-я
Рыбинская 2-я
Рыбинская 3-я
Савёловского Вокзала
Садовая Каретная
Саломеи Нерис
Сальвадора Альенде
Саляма Адиля
Самаринская 2-я
Самеда Вургуна
Саморы Машела
Самотёчный 1-й
Самотёчный 2-й
Самотёчный 3-й
Самотёчный 4-й
Саратовский 1-й
Саратовский 2-й
Свободной России
Северодонецкая 1-я
Северодонецкая 2-я
Сельскохозяйственный 1-й
Сельскохозяйственный 2-й
Семёновский Вал
Сергея Макеева
Сергея Эйзенштейна
Сергия Радонежского
Серпуховская Застава
Серпуховский Вал
Сестрорецкая 1-я
Сестрорецкая 2-я
Сестрорецкая 3-я
Сетуньский 1-й
Сетуньский 2-й
Сетуньский 3-й
Сетуньский 4-й
Сивцев Вражек
Силикатный 1-й
Силикатный 2-й
Силикатный 3-й
Симоновский Вал
Симоновский тупик
Синичкина 1-я
Синичкина 2-я
Скульптора Мухиной
Смоленский 1-й
Смоленский 2-й
Смоленский 3-й
Советская 2-я
Советской Армии
Соколиной Горы 3-я
Соколиной Горы 5-я
Соколиной Горы 8-я
Соколиной Горы 9-я
Соколиной Горы 10-я
Соколово-Мещерская
Сокольническая 1-я
Сокольническая 2-я
Сокольническая 3-я
Сокольническая 4-я
Сокольническая 5-я
Сокольническая Застава
Сокольническая Слободка
Сокольнический Вал
Сокольнический Павильонный
Сокольнического Круга
Соловецких Юнг
Соловьиная Роща
Соломенной Сторожки
Сорок Лет Октября
Софьи Ковалевской
Спасоналивковский 1-й
Спасоналивковский 2-й
Средний 1-й
Средний 2-й просек
Средний Золоторожский
Средний Каретный
Средний Кисловский
Средний Кондратьевский
Средний Международный
Средний Наставнический
Средний Николопесковский
Средний Овчинниковский
Средний Тишинский
Средний Трёхгорный
Средняя Калитниковская
Средняя Первомайская
Средняя Переяславская
Сретенские Ворота
Старая Басманная
Старый Гай
Старый Зыковский
Старый Петровско-Разумовский
Старый Толмачёвский
Стекольная 1-я
Степана Супруна
Степана Шутова
Стрелецкий 1-й
Стрелецкий 2-й
Стрелецкий 3-й
Стрелецкий 4-й
Суворовский 1-й
Сущёвский Вал
Сыромятнический 1-й
Сыромятнический 2-й
Сыромятнический 3-й
Сыромятнический 4-й
Тараса Шевченконабережная
Татьяны Макаровой
Тверская Застава
Тверская-Ямская 1-я
Тверская-Ямская 2-я
Тверская-Ямская 3-я
Тверская-Ямская 4-я
Тверская-Ямская 5-я
Тверской-Ямской 1-й
Тверской-Ямской 2-й
Текстильщиков 1-я
Текстильщиков 7-я
Текстильщиков 8-я
Текстильщиков 10-я
Текстильщиков 11-я
Тёплый Стан
Тимура Фрунзе
Тихвинский 1-й
Третьего Интернационала
Трёхгорный Вал
Троицкий 1-й
Троицкий 2-й
Тружеников 1-й
Тружеников 2-й
Тружеников 3-й
Тульский 1-й
Тульский 2-й
Тушинский 1-й
Тушинский 2-й
Тушинский 3-й
Тысяча Восемьсот Двенадцатого Года
Тысяча Девятьсот Пятого Года
Тюфелева Роща
Угрешский 1-й
Угрешский 2-й
Угрешский 3-й
Улофа Пальме
Фёдора Полетаева
Филёвская 2-я
Филёвская 3-я
Фрезерная 1-я
Фрезерная 2-я
Фридриха Энгельса
Фрунзенская 1-я
Фрунзенская 2-я
Фрунзенская 3-я
Хамовнический Вал
Хапиловская 2-я
Хвостов 1-й
Хвостов 2-й
Хорошёвская 3-я
Хорошёвский 1-й
Хорошёвский 2-й
Хорошёвский 3-й
Хорошёвского Серебряного Бора
Хорошёвского Серебряного Бора Центральный
Хо Ши Мина
Хуторская 1-я
Хуторская 2-я
Хуторской 1-й
Хуторской 2-й
Хуторской 3-й
Хуторской 4-й
Цезаря Куникова
Церковная Горка
Черепковская 3-я
Черкизовская 3-я
Черногрязская 2-я
Чёрное Озеро
Чоботовская 1-я
Чоботовская 2-я
Чоботовская 3-я
Чоботовская 4-я
Чоботовская 5-я
Чоботовская 6-я
Чоботовская 7-я
Чоботовская 8-я
Чоботовская 9-я
Чоботовская 10-я
Чоботовская 11-я
Чугунные Ворота
Шарля де Голля
Шелепихи 1-я
Шестидесятилетия Октября
Шестидесятилетия СССР
Шибаевский 1-й
Ширяевский 2-й
Щемиловский 1-й
Щемиловский 2-й
Щипковский 1-й
Щипковский 2-й
Щипковский 4-й
Щукинский 3-й
Электрозаводский 1-й
Электрозаводский 2-й
Энтузиастов 1-я
Энтузиастов 2-я
Эрнста Тельмана
Юлиуса Фучика
Юных Ленинцев
Яна Райниса
Яузских Ворот
